passage_event,direction,lateral_crossing_offset_m
P0275,B,159.981701
P0276,B,-158.221485
P0277,A,-105.403895
P0278,A,-528.685174
P0279,A,-97.434554
P0280,B,378.850011
P0281,A,-91.504529
P0282,A,-523.125428
P0283,B,1220.411022
P0284,A,1194.464798
P0285,B,1494.320820
P0286,A,-223.270517
P0287,B,1485.054947
P0288,A,360.502848
P0289,A,-330.202230
P0290,B,139.224944
P0291,B,285.631968
P0292,B,1406.847108
P0293,A,-438.432700
P0294,A,-507.929529
P0295,A,-317.230230
P0296,A,-350.773292
P0297,A,-381.351897
P0298,A,-234.760289
P0299,B,144.044132
P0300,B,18.949839
P0301,A,-171.749460
P0302,B,242.821921
P0303,A,1499.324592
P0304,A,-381.537592
P0305,B,1080.675693
P0306,B,362.356467
P0307,A,-406.742146
P0308,A,-238.281832
P0309,B,-284.056336
P0310,B,1227.638692
P0311,A,-448.068853
P0312,B,616.807154
P0313,A,160.537675
P0314,B,-18.300461
P0315,A,24.879865
P0316,A,-294.063879
P0317,B,-107.998073
P0318,A,-29.791345
P0319,B,320.288091
P0320,A,-335.947672
P0321,B,1204.843732
P0322,B,179.811092
P0323,B,-108.739743
P0324,A,-283.871752
P0325,B,253.571135
P0326,A,-208.073506
P0327,A,-137.650424
P0328,B,196.305747
P0329,A,-177.124623
P0330,A,-157.479815
P0331,A,-119.303261
P0332,B,276.550678
P0333,A,-63.149823
P0334,A,-102.068047
P0335,A,-531.650743
P0336,A,-319.268433
P0337,A,-291.099422
P0338,B,240.783718
P0339,A,-109.480301
P0340,B,379.777376
P0341,A,-235.316264
P0342,B,-232.722086
P0343,B,215.579164
P0344,A,-91.689113
P0345,B,38.964926
P0346,A,-150.252145
P0347,B,-202.884039
P0348,A,35.443383
P0349,B,288.597537
P0350,A,-268.489046
P0351,B,296.565765
P0352,A,-204.367380
P0353,B,240.227743
P0354,A,-105.218199
P0355,B,468.361927
P0356,A,-379.683973
P0357,B,-182.312978
P0358,A,-483.280950
P0359,B,292.303663
P0360,A,-125.603565
P0361,B,217.988758
P0362,A,-423.791664
P0363,B,260.242830
P0364,A,-157.294119
P0365,A,-1.250943
P0366,B,222.992530
P0367,A,-80.569620
P0368,B,440.378611
P0369,B,95.302948
P0370,A,-278.682285
P0371,B,259.130881
P0372,A,-281.647854
P0373,B,264.690627
P0374,A,-193.432470
P0375,B,540.824324
P0376,B,-374.309922
P0377,B,352.534619
P0378,A,33.219484
P0379,B,436.301093
P0380,A,-43.875294
P0381,B,193.896153
P0382,A,246.343464
P0383,B,560.097741
P0384,A,-129.125109
P0385,B,265.616881
P0386,B,125.881553
P0387,A,-380.611338
P0388,B,153.124310
P0389,A,-376.719516
P0390,B,205.201342
P0391,A,-252.181198
P0392,B,449.274206
P0393,A,-193.432470
P0394,B,373.661655
P0395,A,-352.626911
P0396,B,127.735172
P0397,A,-186.576191
P0398,B,368.657884
P0399,A,-262.188741
P0400,B,-171.008902
P0401,A,-272.196285
P0402,B,316.210573
P0403,A,-335.947672
P0404,A,-129.866779
P0405,B,558.801208
P0406,A,-113.187540
P0407,A,-467.157686
P0408,B,319.176141
P0409,A,-359.484302
P0410,B,271.362323
P0411,A,-312.411042
P0412,B,205.201342
P0413,A,-263.856665
P0414,B,401.088996
P0415,A,-204.181684
P0416,B,270.250374
P0417,A,-191.394267
P0418,B,189.262661
P0419,A,-228.644568
P0420,B,263.948957
P0421,A,-67.782203
P0422,A,-456.964447
P0423,B,271.176627
P0424,A,-16.632537
P0425,A,-201.216115
P0426,A,-299.253346
P0427,B,479.667115
P0428,A,-193.988445
P0429,B,389.413529
P0430,A,-289.060107
P0431,B,223.548504
P0432,A,-238.652111
P0433,B,283.778348
P0434,B,-128.013159
P0435,B,68.431582
P0436,A,-681.763894
P0437,B,-296.659169
P0438,B,105.681882
P0439,B,410.911956
P0440,B,1057.324759
P0441,B,612.174773
P0442,A,1471.155581
P0443,B,761.731949
P0444,B,300.643283
P0445,A,1382.199640
P0446,B,1297.876079
P0447,A,1290.278130
P0448,B,581.410473
P0449,B,808.433819
P0450,B,701.130714
P0451,B,1268.780815
P0452,B,946.871502
P0453,A,1560.481802
P0454,B,204.645367
P0455,B,284.705714
P0456,A,1399.249158
P0457,B,408.688057
P0458,B,1084.197237
P0459,B,353.275178
P0460,B,851.428449
P0461,B,183.146940
P0462,B,795.830986
P0463,B,960.585173
P0464,A,1511.000059
P0465,B,1464.483886
P0466,A,1463.186241
P0467,B,1069.926480
P0468,B,1037.495367
P0469,B,1520.265933
P0470,A,1575.493117
P0471,B,676.852414
P0472,A,1336.238329
P0473,B,841.792297
P0474,A,1216.519199
P0475,B,1553.439827
P0476,B,1171.299559
P0477,B,853.282068
P0478,B,1025.819900
P0479,B,119.395552
P0480,B,-409.706603
P0481,A,-316.488560
P0482,B,-239.393781
P0483,A,-90.762859
P0484,B,119.951527
P0485,A,-166.931384
P0486,B,224.289063
P0487,B,104.940212
P0488,A,-125.603565
P0489,B,64.354064
P0490,B,-135.982500
P0491,A,-182.868952
P0492,B,427.035220
P0493,B,-31.459269
P0494,A,-130.237058
P0495,B,181.850407
P0496,A,-459.930015
P0497,B,-22.933954
P0498,A,-281.276463
P0499,B,279.886526
P0500,A,-465.860041
P0501,B,404.424844
P0502,A,-285.909955
P0503,B,-73.341950
P0504,A,-507.558138
P0505,B,294.527562
P0506,A,-320.936357
P0507,B,255.053363
P0508,A,-201.587506
P0509,B,344.565279
P0510,A,-179.718800
P0511,B,295.453816
P0512,A,40.447155
P0513,B,232.258403
P0514,A,-158.777460
P0515,B,77.697455
P0516,A,-88.353265
P0517,A,372.734290
P0518,B,-35.351091
P0519,B,300.457587
P0520,A,-435.652827
P0521,A,-1.250943
P0522,B,238.559820
P0523,A,7.644651
P0524,B,207.425240
P0525,A,-461.597939
P0526,A,-243.285604
P0527,B,180.738458
P0528,B,-13.296689
P0529,A,-406.000476
P0530,A,-327.422357
P0531,B,-277.570336
P0532,A,8.200626
P0533,B,-107.071819
P0534,A,81.403582
P0535,B,-222.158568
P0536,A,-152.661739
P0537,A,-303.886839
P0538,B,142.560792
P0539,A,41.744799
P0540,A,-191.950242
P0541,B,207.609824
P0542,A,-210.483101
P0543,B,192.969900
P0544,B,-105.774174
P0545,A,-436.764776
P0546,B,242.451642
P0547,A,-261.076792
P0548,B,343.453330
P0549,A,-205.479329
P0550,B,364.024391
P0551,A,-234.945984
P0552,B,380.333351
P0553,A,-65.558305
P0554,A,-253.293147
P0555,A,-338.171571
P0556,A,-89.094935
P0557,B,368.657884
P0558,A,-217.895354
P0559,B,-394.880983
P0560,B,25.806119
P0561,B,177.402610
P0562,B,295.639511
P0563,B,269.323008
P0564,A,-540.176058
P0565,A,-360.040277
P0566,B,229.848809
P0567,A,-83.905468
P0568,B,351.792949
P0569,A,-438.617284
P0570,B,8.200626
P0571,A,-119.487844
P0572,B,40.632850
P0573,A,-190.096623
P0574,B,-90.577163
P0575,A,172.398838
P0576,B,-103.735971
P0577,A,-409.150628
P0578,A,53.604850
P0579,B,386.449072
P0580,A,-153.217713
P0581,B,-10.888207
P0582,B,130.885324
P0583,B,338.635254
P0584,A,133.665197
P0585,A,-316.302864
P0586,B,59.720571
P0587,A,-165.077764
P0588,A,-239.578365
P0589,A,-635.803695
P0590,B,225.216428
P0591,A,41.559104
P0592,B,336.595939
P0593,A,-217.339380
P0594,A,-388.209288
P0595,B,208.351494
P0596,A,-283.315777
P0597,B,158.313777
P0598,A,-41.466812
P0599,B,24.138195
P0600,B,124.029045
P0601,A,-278.496589
P0602,A,-187.316750
P0603,B,283.593765
P0604,A,-92.245087
P0605,B,200.938128
P0606,A,-47.396837
P0607,A,-294.805549
P0608,B,246.343464
