spatial_threshold_m,speed_threshold_kn,sum,count,percentage_of_all_passage_fold_memberships
50,1,75,1037,7.232401157184185
50,2,103,1037,9.932497589199615
50,3,113,1037,10.896817743490839
100,1,99,1037,9.546769527483125
100,2,135,1037,13.018322082931533
100,3,156,1037,15.043394406943104
200,1,133,1037,12.825458052073289
200,2,178,1037,17.1648987463838
200,3,205,1037,19.768563162970107
500,1,148,1037,14.271938283510126
500,2,198,1037,19.09353905496625
500,3,226,1037,21.793635486981678
